"","word","sentiment"
"1","abacus","trust"
"2","abandon","fear"
"3","abandon","negative"
"4","abandon","sadness"
"5","abandoned","anger"
"6","abandoned","fear"
"7","abandoned","negative"
"8","abandoned","sadness"
"9","abandonment","anger"
"10","abandonment","fear"
"11","abandonment","negative"
"12","abandonment","sadness"
"13","abandonment","surprise"
"14","abba","positive"
"15","abbot","trust"
"16","abduction","fear"
"17","abduction","negative"
"18","abduction","sadness"
"19","abduction","surprise"
"20","aberrant","negative"
"21","aberration","disgust"
"22","aberration","negative"
"23","abhor","anger"
"24","abhor","disgust"
"25","abhor","fear"
"26","abhor","negative"
"27","abhorrent","anger"
"28","abhorrent","disgust"
"29","abhorrent","fear"
"30","abhorrent","negative"
"31","ability","positive"
"32","abject","disgust"
"33","abject","negative"
"34","abnormal","disgust"
"35","abnormal","negative"
"36","abolish","anger"
"37","abolish","negative"
"38","abolition","negative"
"39","abominable","disgust"
"40","abominable","fear"
"41","abominable","negative"
"42","abomination","anger"
"43","abomination","disgust"
"44","abomination","fear"
"45","abomination","negative"
"46","abort","negative"
"47","abortion","disgust"
"48","abortion","fear"
"49","abortion","negative"
"50","abortion","sadness"
"51","abortive","negative"
"52","abortive","sadness"
"53","abovementioned","positive"
"54","abrasion","negative"
"55","abrogate","negative"
"56","abrupt","surprise"
"57","abscess","negative"
"58","abscess","sadness"
"59","absence","fear"
"60","absence","negative"
"61","absence","sadness"
"62","absent","negative"
"63","absent","sadness"
"64","absentee","negative"
"65","absentee","sadness"
"66","absenteeism","negative"
"67","absolute","positive"
"68","absolution","joy"
"69","absolution","positive"
"70","absolution","trust"
"71","absorbed","positive"
"72","absurd","negative"
"73","absurdity","negative"
"74","abundance","anticipation"
"75","abundance","disgust"
"76","abundance","joy"
"77","abundance","negative"
"78","abundance","positive"
"79","abundance","trust"
"80","abundant","joy"
"81","abundant","positive"
"82","abuse","anger"
"83","abuse","disgust"
"84","abuse","fear"
"85","abuse","negative"
"86","abuse","sadness"
"87","abysmal","negative"
"88","abysmal","sadness"
"89","abyss","fear"
"90","abyss","negative"
"91","abyss","sadness"
"92","academic","positive"
"93","academic","trust"
"94","academy","positive"
"95","accelerate","anticipation"
"96","acceptable","positive"
"97","acceptance","positive"
"98","accessible","positive"
"99","accident","fear"
"100","accident","negative"
"101","accident","sadness"
"102","accident","surprise"
"103","accidental","fear"
"104","accidental","negative"
"105","accidental","surprise"
"106","accidentally","surprise"
"107","accolade","anticipation"
"108","accolade","joy"
"109","accolade","positive"
